time	V(v1)	V(v2)	V(vo2)
1.509429590393724e-003	-5.921321e-002	5.921321e-002	4.316501e-001
1.510255439309654e-003	-6.439225e-002	6.439225e-002	4.643096e-001
1.511055727946960e-003	-6.940933e-002	6.940933e-002	4.886470e-001
1.512130854829970e-003	-7.614663e-002	7.614663e-002	5.117981e-001
1.513404449208564e-003	-8.412310e-002	8.412310e-002	5.317714e-001
1.514673102645447e-003	-9.206328e-002	9.206328e-002	5.478205e-001
1.515562079835557e-003	-9.762370e-002	9.762370e-002	5.578431e-001
1.515761805952900e-003	-9.887254e-002	9.887254e-002	5.603693e-001
1.515867444544897e-003	-9.953301e-002	9.953301e-002	5.623753e-001
1.515931888058598e-003	-9.993590e-002	9.993590e-002	5.647887e-001
1.516001884652793e-003	-1.003735e-001	1.003735e-001	5.701984e-001
1.516097376422097e-003	-1.009704e-001	1.009704e-001	5.828717e-001
1.516198091916369e-003	-1.016000e-001	1.016000e-001	6.019002e-001
1.516307658744624e-003	-1.022848e-001	1.022848e-001	6.269335e-001
1.516457704362187e-003	-1.032226e-001	1.032226e-001	6.624450e-001
1.516679919930563e-003	-1.046113e-001	1.046113e-001	7.105750e-001
1.516916083981001e-003	-1.060869e-001	1.060869e-001	7.524269e-001
1.517243947346558e-003	-1.081351e-001	1.081351e-001	7.957433e-001
1.517701532345213e-003	-1.109928e-001	1.109928e-001	8.395666e-001
1.518198601269611e-003	-1.140962e-001	1.140962e-001	8.748035e-001
1.518977308510643e-003	-1.189556e-001	1.189556e-001	9.194784e-001
1.527870424030984e-003	-1.746353e-001	1.746353e-001	1.366571e+000
1.536763539551324e-003	-2.293528e-001	2.293528e-001	1.805733e+000
1.545656655071665e-003	-2.831081e-001	2.831081e-001	2.236966e+000
1.554549770592006e-003	-3.359011e-001	3.359011e-001	2.660269e+000
1.563442886112347e-003	-3.877319e-001	3.877319e-001	3.075642e+000
1.572336001632688e-003	-4.386005e-001	4.386005e-001	3.483085e+000
1.581229117153029e-003	-4.885068e-001	4.885068e-001	3.882598e+000
1.595877554653028e-003	-5.679962e-001	5.679962e-001	4.519818e+000
1.610525992153028e-003	-6.412818e-001	6.412818e-001	5.107558e+000
1.625174429653028e-003	-7.083637e-001	7.083637e-001	5.645817e+000
1.639822867153027e-003	-7.692418e-001	7.692418e-001	6.134594e+000
1.654471304653027e-003	-8.239161e-001	8.239161e-001	6.573891e+000
1.669119742153027e-003	-8.723866e-001	8.723866e-001	6.963706e+000
1.683768179653026e-003	-9.146534e-001	9.146534e-001	7.304041e+000
1.708879786795883e-003	-9.661867e-001	9.661867e-001	7.720571e+000
1.733991393938740e-003	-9.937643e-001	9.937643e-001	7.945414e+000
1.759103001081596e-003	-9.973860e-001	9.973860e-001	7.978570e+000
1.784214608224453e-003	-9.770519e-001	9.770519e-001	7.820039e+000
1.809326215367310e-003	-9.327620e-001	9.327620e-001	7.469821e+000
1.834437822510166e-003	-8.645163e-001	8.645163e-001	6.927915e+000
1.859549429653023e-003	-7.723147e-001	7.723147e-001	6.194323e+000
1.871407688581594e-003	-7.220694e-001	7.220694e-001	5.794017e+000
1.883265947510165e-003	-6.686117e-001	6.686117e-001	5.367924e+000
1.895124206438736e-003	-6.119417e-001	6.119417e-001	4.916044e+000
1.906982465367307e-003	-5.520594e-001	5.520594e-001	4.438378e+000
1.918840724295879e-003	-4.889647e-001	4.889647e-001	3.934924e+000
1.930698983224450e-003	-4.226577e-001	4.226577e-001	3.405684e+000
1.942557242153021e-003	-3.531384e-001	3.531384e-001	2.850657e+000
1.948137599295878e-003	-3.200205e-001	3.200205e-001	2.586135e+000
1.953717956438735e-003	-2.866129e-001	2.866129e-001	2.319354e+000
1.959298313581592e-003	-2.529157e-001	2.529157e-001	2.050314e+000
1.964878670724449e-003	-2.189287e-001	2.189287e-001	1.779015e+000
1.970459027867306e-003	-1.846522e-001	1.846522e-001	1.505457e+000
1.976039385010163e-003	-1.500859e-001	1.500859e-001	1.229640e+000
1.981619742153020e-003	-1.152300e-001	1.152300e-001	9.515638e-001
1.986502554653020e-003	-8.470533e-002	8.470533e-002	7.091853e-001
1.988666183627216e-003	-7.115229e-002	7.115229e-002	6.030383e-001
1.989975060904735e-003	-6.294691e-002	6.294691e-002	5.414425e-001
1.990649090648920e-003	-5.871970e-002	5.871970e-002	5.129361e-001
1.990983831133936e-003	-5.661996e-002	5.661996e-002	5.017573e-001
1.991560354616952e-003	-5.300301e-002	5.300301e-002	4.896080e-001
1.992008299854174e-003	-5.019219e-002	5.019219e-002	4.847112e-001
1.992456245091396e-003	-4.738103e-002	4.738103e-002	4.798981e-001
1.992904190328618e-003	-4.456952e-002	4.456952e-002	4.751687e-001
1.993352135565840e-003	-4.175767e-002	4.175767e-002	4.705229e-001
1.993800080803062e-003	-3.894547e-002	3.894547e-002	4.659608e-001
1.994248026040284e-003	-3.613292e-002	3.613292e-002	4.614824e-001
1.994695971277506e-003	-3.332003e-002	3.332003e-002	4.570876e-001
1.995063662863927e-003	-3.101095e-002	3.101095e-002	4.529381e-001
1.995281935304129e-003	-2.964013e-002	2.964013e-002	4.498833e-001
1.995536267228424e-003	-2.804278e-002	2.804278e-002	4.467953e-001
1.995845946968413e-003	-2.609772e-002	2.609772e-002	4.431880e-001
1.996207201063959e-003	-2.382860e-002	2.382860e-002	4.363464e-001
1.996399884614098e-003	-2.261826e-002	2.261826e-002	4.224314e-001
1.996607218032805e-003	-2.131586e-002	2.131586e-002	3.866468e-001
1.996707354487826e-003	-2.068683e-002	2.068683e-002	3.596341e-001
1.996832011533628e-003	-1.990374e-002	1.990374e-002	3.222231e-001
1.996923795359999e-003	-1.932716e-002	1.932716e-002	2.978676e-001
1.997028994826284e-003	-1.866629e-002	1.866629e-002	2.738853e-001
1.997171247572747e-003	-1.777264e-002	1.777264e-002	2.460503e-001
1.997338123549724e-003	-1.672428e-002	1.672428e-002	2.196190e-001
1.997654030194525e-003	-1.473963e-002	1.473963e-002	1.818190e-001
1.998149049778558e-003	-1.162960e-002	1.162960e-002	1.389261e-001
1.998897363410977e-003	-6.928015e-003	6.928015e-003	9.067303e-002
1.999687640049091e-003	-1.962614e-003	1.962614e-003	4.787405e-002
2.001110965468070e-003	6.980345e-003	-6.980345e-003	-2.441056e-002
2.002791223982191e-003	1.753688e-002	-1.753688e-002	-1.087972e-001
2.006151741010434e-003	3.864291e-002	-3.864291e-002	-2.763725e-001
2.009039549281943e-003	5.676663e-002	-5.676663e-002	-4.178558e-001
2.010314782401969e-003	6.476433e-002	-6.476433e-002	-4.765187e-001
2.011133970447031e-003	6.989975e-002	-6.989975e-002	-5.084475e-001
2.011876692612562e-003	7.455422e-002	-7.455422e-002	-5.289893e-001
2.012786590120014e-003	8.025412e-002	-8.025412e-002	-5.427981e-001
2.013769294882778e-003	8.640715e-002	-8.640715e-002	-5.477861e-001
2.014820857255953e-003	9.298766e-002	-9.298766e-002	-5.462065e-001
2.015732141389220e-003	9.868707e-002	-9.868707e-002	-5.418481e-001
2.016111619045352e-003	1.010595e-001	-1.010595e-001	-5.404828e-001
2.016319821376627e-003	1.023609e-001	-1.023609e-001	-5.447930e-001
2.016408573253593e-003	1.029156e-001	-1.029156e-001	-5.551692e-001
2.016500997491973e-003	1.034932e-001	-1.034932e-001	-5.771272e-001
2.016584848744779e-003	1.040172e-001	-1.040172e-001	-6.024027e-001
2.016688454577417e-003	1.046646e-001	-1.046646e-001	-6.348167e-001
2.016799970977100e-003	1.053614e-001	-1.053614e-001	-6.670672e-001
2.016958444492116e-003	1.063515e-001	-1.063515e-001	-7.058622e-001
2.017241877449881e-003	1.081221e-001	-1.081221e-001	-7.598556e-001
2.017626456200299e-003	1.105240e-001	-1.105240e-001	-8.128071e-001
2.018090959672682e-003	1.134242e-001	-1.134242e-001	-8.575209e-001
