v1	V(v1)	V(vo1)	V(vo2)
6.799999999999974e+000	6.800000e+000	8.636850e+000	-9.692960e+000
6.899999999999974e+000	6.900000e+000	8.636851e+000	-9.692960e+000
6.999999999999973e+000	7.000000e+000	8.636852e+000	-9.692960e+000
7.099999999999973e+000	7.100000e+000	8.636853e+000	-9.692959e+000
7.199999999999973e+000	7.200000e+000	8.636854e+000	-9.692959e+000
7.299999999999972e+000	7.300000e+000	8.636855e+000	-9.692959e+000
7.399999999999972e+000	7.400000e+000	8.636856e+000	-9.692959e+000
7.499999999999972e+000	7.500000e+000	8.636857e+000	-9.692958e+000
7.599999999999971e+000	7.600000e+000	8.636858e+000	-9.692958e+000
7.699999999999971e+000	7.700000e+000	8.636859e+000	-9.692958e+000
7.799999999999971e+000	7.800000e+000	8.636860e+000	-9.692957e+000
7.899999999999970e+000	7.900000e+000	8.636861e+000	-9.692957e+000
7.999999999999970e+000	8.000000e+000	8.636862e+000	-9.692957e+000
8.099999999999969e+000	8.100000e+000	8.636863e+000	-9.692957e+000
8.199999999999969e+000	8.200000e+000	8.636864e+000	-9.692956e+000
8.299999999999969e+000	8.300000e+000	8.636865e+000	-9.692956e+000
8.399999999999968e+000	8.400000e+000	8.636866e+000	-9.692956e+000
8.499999999999968e+000	8.500000e+000	8.636867e+000	-9.692956e+000
8.599999999999968e+000	8.600000e+000	8.636868e+000	-9.692955e+000
8.699999999999967e+000	8.700000e+000	8.636868e+000	-9.692955e+000
8.799999999999967e+000	8.800000e+000	8.636869e+000	-9.692955e+000
8.899999999999967e+000	8.900000e+000	8.636870e+000	-9.692954e+000
8.999999999999966e+000	9.000000e+000	8.636871e+000	-9.692954e+000
9.099999999999966e+000	9.100000e+000	8.636872e+000	-9.692954e+000
9.199999999999966e+000	9.200000e+000	8.636873e+000	-9.692954e+000
9.299999999999965e+000	9.300000e+000	8.636874e+000	-9.692953e+000
9.399999999999965e+000	9.400000e+000	8.636875e+000	-9.692953e+000
9.499999999999965e+000	9.500000e+000	8.636876e+000	-9.692953e+000
9.599999999999964e+000	9.600000e+000	8.636877e+000	-9.692953e+000
9.699999999999964e+000	9.700000e+000	8.636878e+000	-9.692952e+000
9.799999999999963e+000	9.800000e+000	8.636879e+000	-9.692952e+000
9.899999999999963e+000	9.900000e+000	8.636880e+000	-9.692952e+000
1.000000000000000e+001	1.000000e+001	8.636881e+000	-9.692952e+000
