v1	V(vo1)	V(vo2)
-6.200000000000081e+000	-8.913177e+000	-4.650017e+000
-6.180000000000081e+000	-8.912908e+000	-4.597042e+000
-6.160000000000082e+000	-8.912640e+000	-4.544065e+000
-6.140000000000082e+000	-8.912372e+000	-4.491088e+000
-6.120000000000083e+000	-8.912105e+000	-4.438110e+000
-6.100000000000083e+000	-8.911839e+000	-4.385131e+000
-6.080000000000084e+000	-8.911572e+000	-4.332150e+000
-6.060000000000084e+000	-8.911308e+000	-4.279169e+000
-6.040000000000084e+000	-8.911044e+000	-4.226187e+000
-6.020000000000085e+000	-8.910781e+000	-4.173203e+000
-6.000000000000085e+000	-8.910519e+000	-4.120219e+000
-5.980000000000086e+000	-8.910256e+000	-4.067234e+000
-5.960000000000086e+000	-8.909996e+000	-4.014248e+000
-5.940000000000087e+000	-8.909736e+000	-3.961261e+000
-5.920000000000087e+000	-8.909476e+000	-3.908272e+000
-5.900000000000087e+000	-8.909217e+000	-3.855283e+000
-5.880000000000088e+000	-8.908959e+000	-3.802293e+000
-5.860000000000088e+000	-8.908702e+000	-3.749302e+000
-5.840000000000089e+000	-8.908445e+000	-3.696310e+000
-5.820000000000089e+000	-8.908189e+000	-3.643317e+000
-5.800000000000090e+000	-8.907933e+000	-3.590323e+000
-5.780000000000090e+000	-8.907679e+000	-3.537329e+000
-5.760000000000090e+000	-8.907425e+000	-3.484333e+000
-5.740000000000091e+000	-8.907172e+000	-3.431336e+000
-5.720000000000091e+000	-8.906919e+000	-3.378339e+000
-5.700000000000092e+000	-8.906668e+000	-3.325341e+000
-5.680000000000092e+000	-8.906416e+000	-3.272341e+000
-5.660000000000093e+000	-8.906166e+000	-3.219341e+000
-5.640000000000093e+000	-8.905915e+000	-3.166340e+000
-5.620000000000093e+000	-8.905666e+000	-3.113338e+000
-5.600000000000094e+000	-8.905417e+000	-3.060335e+000
-5.580000000000094e+000	-8.905169e+000	-3.007332e+000
-5.560000000000095e+000	-8.904922e+000	-2.954327e+000
-5.540000000000095e+000	-8.904675e+000	-2.901322e+000
-5.520000000000096e+000	-8.904429e+000	-2.848316e+000
-5.500000000000096e+000	-8.904184e+000	-2.795309e+000
-5.480000000000096e+000	-8.903939e+000	-2.742301e+000
-5.460000000000097e+000	-8.903695e+000	-2.689292e+000
-5.440000000000097e+000	-8.903452e+000	-2.636283e+000
-5.420000000000098e+000	-8.903209e+000	-2.583273e+000
-5.400000000000098e+000	-8.902966e+000	-2.530262e+000
-5.380000000000099e+000	-8.902725e+000	-2.477250e+000
-5.360000000000099e+000	-8.902484e+000	-2.424237e+000
-5.340000000000099e+000	-8.902244e+000	-2.371223e+000
-5.320000000000100e+000	-8.902003e+000	-2.318209e+000
-5.300000000000100e+000	-8.901764e+000	-2.265194e+000
-5.280000000000101e+000	-8.901525e+000	-2.212178e+000
-5.260000000000101e+000	-8.901287e+000	-2.159161e+000
-5.240000000000102e+000	-8.901050e+000	-2.106144e+000
-5.220000000000102e+000	-8.900813e+000	-2.053125e+000
-5.200000000000102e+000	-8.900577e+000	-2.000107e+000
-5.180000000000103e+000	-8.900340e+000	-1.947087e+000
-5.160000000000103e+000	-8.900105e+000	-1.894066e+000
-5.140000000000104e+000	-8.899871e+000	-1.841045e+000
-5.120000000000104e+000	-8.899636e+000	-1.788023e+000
-5.100000000000104e+000	-8.899403e+000	-1.735000e+000
-5.080000000000105e+000	-8.899170e+000	-1.681977e+000
-5.060000000000105e+000	-8.898937e+000	-1.628952e+000
-5.040000000000106e+000	-8.898705e+000	-1.575927e+000
-5.020000000000106e+000	-8.898474e+000	-1.522902e+000
-5.000000000000107e+000	-8.898243e+000	-1.469875e+000
-4.980000000000107e+000	-8.898013e+000	-1.416848e+000
-4.960000000000107e+000	-8.897783e+000	-1.363821e+000
-4.940000000000108e+000	-8.897553e+000	-1.310792e+000
-4.920000000000108e+000	-8.897325e+000	-1.257764e+000
-4.900000000000109e+000	-8.897096e+000	-1.204734e+000
-4.880000000000109e+000	-8.896867e+000	-1.151705e+000
-4.860000000000110e+000	-8.896639e+000	-1.098675e+000
-4.840000000000110e+000	-8.896409e+000	-1.045647e+000
-4.820000000000110e+000	-8.896179e+000	-9.926198e-001
-4.800000000000111e+000	-8.895947e+000	-9.395959e-001
-4.780000000000111e+000	-8.895709e+000	-8.865777e-001
