time	V(vin)	V(vout)	V(n002)
6.729461951431588e-004	-8.850740e+000	-9.326011e-002	1.646623e+000
6.875946326431588e-004	-9.241069e+000	-9.774843e-002	1.645844e+000
7.022430701431588e-004	-9.553171e+000	-1.011793e-001	1.645247e+000
7.120086951431588e-004	-9.716447e+000	-1.029215e-001	1.644943e+000
7.217743201431588e-004	-9.843152e+000	-1.042491e-001	1.644712e+000
7.315399451431589e-004	-9.932810e+000	-1.051775e-001	1.644550e+000
7.413055701431589e-004	-9.985083e+000	-1.057173e-001	1.644456e+000
7.510711951431589e-004	-9.999773e+000	-1.058742e-001	1.644429e+000
7.608368201431589e-004	-9.976828e+000	-1.056502e-001	1.644468e+000
7.706024451431589e-004	-9.916331e+000	-1.050426e-001	1.644574e+000
7.803680701431589e-004	-9.818513e+000	-1.040448e-001	1.644748e+000
7.901336951431589e-004	-9.683739e+000	-1.026455e-001	1.644992e+000
7.998993201431589e-004	-9.512518e+000	-1.008284e-001	1.645308e+000
8.145477576431589e-004	-9.188794e+000	-9.727550e-002	1.645926e+000
8.291961951431589e-004	-8.787286e+000	-9.265109e-002	1.646729e+000
8.438446326431590e-004	-8.311391e+000	-8.676839e-002	1.647748e+000
8.584930701431590e-004	-7.765140e+000	-7.942536e-002	1.649015e+000
8.682586951431590e-004	-7.364144e+000	-7.356600e-002	1.650024e+000
8.731415076431590e-004	-7.153154e+000	-7.030085e-002	1.650585e+000
8.780243201431590e-004	-6.935432e+000	-6.678604e-002	1.651188e+000
8.829071326431590e-004	-6.711183e+000	-6.299755e-002	1.651838e+000
8.877899451431590e-004	-6.480617e+000	-5.890823e-002	1.652538e+000
8.926727576431590e-004	-6.243951e+000	-5.448483e-002	1.653294e+000
8.975555701431590e-004	-6.001410e+000	-4.968987e-002	1.654113e+000
9.024383826431590e-004	-5.753220e+000	-4.447610e-002	1.655002e+000
9.073211951431590e-004	-5.499615e+000	-3.879073e-002	1.655970e+000
9.122040076431590e-004	-5.240834e+000	-3.256474e-002	1.657029e+000
9.170868201431590e-004	-4.977120e+000	-2.572309e-002	1.658190e+000
9.219696326431590e-004	-4.708723e+000	-1.815642e-002	1.659473e+000
9.268524451431590e-004	-4.435893e+000	-9.755734e-003	1.660895e+000
9.317352576431590e-004	-4.158889e+000	-3.692850e-004	1.662483e+000
9.366180701431590e-004	-3.877970e+000	1.013977e-002	1.664257e+000
9.415008826431590e-004	-3.593402e+000	2.205545e-002	1.666267e+000
9.463836951431590e-004	-3.305452e+000	3.565392e-002	1.668557e+000
9.512665076431590e-004	-3.014391e+000	5.233061e-002	1.671361e+000
9.561493201431591e-004	-2.720492e+000	7.843495e-002	1.675735e+000
9.610321326431591e-004	-2.424034e+000	1.600948e-001	1.689355e+000
9.659149451431591e-004	-2.125293e+000	4.045575e-001	1.730066e+000
9.698801761336064e-004	-1.881208e+000	8.432328e-001	1.803090e+000
9.735526577752038e-004	-1.654098e+000	1.526007e+000	1.916732e+000
9.762205080545386e-004	-1.488557e+000	2.251641e+000	2.037504e+000
9.792696746417269e-004	-1.298845e+000	3.362310e+000	2.222373e+000
9.828375148873126e-004	-1.076262e+000	4.921613e+000	2.481951e+000
9.856592482310655e-004	-8.998372e-001	6.267513e+000	2.706028e+000
9.884788012985220e-004	-7.232662e-001	7.647219e+000	2.935744e+000
9.906451896337068e-004	-5.874417e-001	8.595748e+000	3.093683e+000
9.918804547573033e-004	-5.099448e-001	8.937173e+000	3.150557e+000
9.952841189223482e-004	-2.960476e-001	8.940885e+000	3.151352e+000
9.986877830873932e-004	-8.225007e-002	8.943687e+000	3.151995e+000
1.002091447252438e-003	1.314478e-001	8.945579e+000	3.152486e+000
1.005495111417483e-003	3.450460e-001	8.946562e+000	3.152827e+000
1.008898775582528e-003	5.585446e-001	8.946634e+000	3.153015e+000
1.012302439747573e-003	7.719434e-001	8.945797e+000	3.153053e+000
1.015706103912618e-003	9.852427e-001	8.944050e+000	3.152939e+000
1.024076639626903e-003	1.510524e+000	8.944043e+000	3.153372e+000
1.032447175341189e-003	2.028113e+000	8.944037e+000	3.153800e+000
1.040817711055474e-003	2.538009e+000	8.944033e+000	3.154221e+000
1.049188246769760e-003	3.040212e+000	8.944029e+000	3.154636e+000
1.057558782484046e-003	3.534722e+000	8.944026e+000	3.155045e+000
1.065929318198331e-003	4.021540e+000	8.944025e+000	3.155447e+000
1.074299853912617e-003	4.500665e+000	8.944024e+000	3.155844e+000
1.088948291412616e-003	5.302358e+000	8.944023e+000	3.156507e+000
1.105637276731572e-003	6.160660e+000	8.940022e+000	3.156560e+000
1.106336893126643e-003	6.195226e+000	8.935716e+000	3.155880e+000
1.107269714986737e-003	6.241128e+000	8.923808e+000	3.153955e+000
1.108143057905335e-003	6.283908e+000	8.901697e+000	3.150340e+000
