time	V(vin)	V(vout)	V(n002)
4.900870707913418e-004	6.224450e-001	-8.890805e+000	1.849663e-001
4.902943818053224e-004	6.094440e-001	-8.890658e+000	1.849888e-001
4.905016928193031e-004	5.964421e-001	-8.890397e+000	1.850305e-001
4.907090038332837e-004	5.834391e-001	-8.890022e+000	1.850913e-001
4.909163148472642e-004	5.704350e-001	-8.889533e+000	1.851713e-001
4.911236258612449e-004	5.574300e-001	-8.888929e+000	1.852704e-001
4.914210045254726e-004	5.387732e-001	-8.886993e+000	1.855962e-001
4.920172621241524e-004	5.013599e-001	-8.882882e+000	1.861745e-001
4.928122722557255e-004	4.514647e-001	-8.872476e+000	1.875918e-001
4.936362922100003e-004	3.997370e-001	-8.852021e+000	1.906919e-001
4.942179738959776e-004	3.632155e-001	-8.821889e+000	1.952290e-001
4.947904710313518e-004	3.272659e-001	-8.763115e+000	2.042645e-001
4.953825878718034e-004	2.900799e-001	-8.662502e+000	2.212729e-001
4.958357449115251e-004	2.616180e-001	-8.554651e+000	2.399937e-001
4.962606081240763e-004	2.349313e-001	-8.431185e+000	2.608567e-001
4.967114560140569e-004	2.066106e-001	-8.284995e+000	2.853044e-001
4.971939701123911e-004	1.762989e-001	-8.115996e+000	3.134165e-001
4.977788929418809e-004	1.395517e-001	-7.895539e+000	3.497877e-001
4.986936637714748e-004	8.207861e-002	-7.517860e+000	4.111962e-001
5.004808156376732e-004	-3.021049e-002	-6.678823e+000	5.454100e-001
5.040551193700699e-004	-2.547631e-001	-4.741584e+000	8.619549e-001
5.078192891648703e-004	-4.911028e-001	-2.420965e+000	1.254112e+000
5.104454939764134e-004	-6.558387e-001	-6.391870e-001	1.557953e+000
5.115421308837731e-004	-7.245780e-001	1.457952e-001	1.690537e+000
5.121765790795479e-004	-7.643309e-001	6.076371e-001	1.768048e+000
5.129108317148337e-004	-8.103220e-001	1.134208e+000	1.856537e+000
5.131822398544003e-004	-8.273179e-001	1.312294e+000	1.886522e+000
5.133155399498374e-004	-8.356643e-001	1.379588e+000	1.897491e+000
5.133698462076712e-004	-8.390645e-001	1.393858e+000	1.899326e+000
5.134145568451577e-004	-8.418639e-001	1.397240e+000	1.899592e+000
5.134950780297985e-004	-8.469051e-001	1.397956e+000	1.899701e+000
5.150279918316805e-004	-9.428341e-001	1.399320e+000	1.899891e+000
5.154828938717147e-004	-9.712852e-001	1.415116e+000	1.900129e+000
5.157275559307679e-004	-9.865839e-001	1.474751e+000	1.907616e+000
5.158894803221250e-004	-9.967078e-001	1.568928e+000	1.928270e+000
5.160261064631487e-004	-1.005249e+000	1.669671e+000	1.944620e+000
5.161701165987339e-004	-1.014251e+000	1.778364e+000	1.962478e+000
5.163091400948329e-004	-1.022941e+000	1.887312e+000	1.981269e+000
5.165871870870311e-004	-1.040318e+000	2.108625e+000	2.017387e+000
5.168972269024624e-004	-1.059691e+000	2.359894e+000	2.059875e+000
5.172776628158310e-004	-1.083457e+000	2.674024e+000	2.111599e+000
5.178412813927225e-004	-1.118654e+000	3.147775e+000	2.190891e+000
5.185360026200005e-004	-1.162020e+000	3.743380e+000	2.289508e+000
5.195451637732945e-004	-1.224974e+000	4.629101e+000	2.436899e+000
5.210714044065817e-004	-1.320091e+000	6.006631e+000	2.665168e+000
5.230797448797613e-004	-1.445066e+000	7.861015e+000	2.976554e+000
5.231580954302902e-004	-1.449937e+000	7.934625e+000	2.988891e+000
5.233147965313482e-004	-1.459678e+000	8.080970e+000	3.013613e+000
5.234993565206772e-004	-1.471149e+000	8.244575e+000	3.041213e+000
5.237027313502533e-004	-1.483787e+000	8.408998e+000	3.068844e+000
5.238038197055811e-004	-1.490068e+000	8.473810e+000	3.080037e+000
5.238960838990900e-004	-1.495800e+000	8.507004e+000	3.085732e+000
5.240155744377291e-004	-1.503223e+000	8.521309e+000	3.087289e+000
5.240904401411609e-004	-1.507874e+000	8.522706e+000	3.087047e+000
5.242089246249946e-004	-1.515233e+000	8.522749e+000	3.087226e+000
5.244076728883341e-004	-1.527575e+000	8.523368e+000	3.087239e+000
5.245371135435499e-004	-1.535612e+000	8.528663e+000	3.088147e+000
5.246987848397866e-004	-1.545649e+000	8.535984e+000	3.089389e+000
5.249510289774812e-004	-1.561306e+000	8.538072e+000	3.089728e+000
5.340005111799683e-004	-2.124349e+000	8.538164e+000	3.089737e+000
5.430499933824556e-004	-2.676203e+000	8.538235e+000	3.089744e+000
5.520994755849428e-004	-3.216869e+000	8.538283e+000	3.089749e+000
5.611489577874300e-004	-3.746345e+000	8.538310e+000	3.089752e+000
5.701984399899172e-004	-4.264632e+000	8.538315e+000	3.089753e+000
5.792479221924044e-004	-4.771730e+000	8.538298e+000	3.089752e+000
5.882974043948916e-004	-5.267639e+000	8.538260e+000	3.089750e+000
6.088052168948916e-004	-6.316218e+000	8.538260e+000	3.089744e+000
6.293130293948916e-004	-7.260071e+000	8.538260e+000	3.089750e+000
6.498208418948917e-004	-8.083549e+000	8.538260e+000	3.089745e+000
6.703286543948917e-004	-8.772996e+000	8.538260e+000	3.089750e+000
6.908364668948917e-004	-9.316984e+000	8.538260e+000	3.089745e+000
7.113442793948917e-004	-9.706491e+000	8.538260e+000	3.089750e+000
7.318520918948917e-004	-9.935060e+000	8.538260e+000	3.089745e+000
7.523599043948917e-004	-9.998900e+000	8.538260e+000	3.089750e+000
7.728677168948918e-004	-9.896955e+000	8.538260e+000	3.089745e+000
7.933755293948918e-004	-9.630913e+000	8.538260e+000	3.089750e+000
8.138833418948918e-004	-9.205185e+000	8.538260e+000	3.089745e+000
8.343911543948918e-004	-8.626830e+000	8.538260e+000	3.089750e+000
8.548989668948918e-004	-7.905439e+000	8.538260e+000	3.089745e+000
8.754067793948919e-004	-7.052972e+000	8.538260e+000	3.089750e+000
8.959145918948919e-004	-6.083563e+000	8.538260e+000	3.089745e+000
9.164224043948919e-004	-5.013285e+000	8.538260e+000	3.089750e+000
9.369302168948919e-004	-3.859885e+000	8.538260e+000	3.089745e+000
9.574380293948919e-004	-2.642486e+000	8.538260e+000	3.089750e+000
9.779458418948919e-004	-1.381273e+000	8.538260e+000	3.089745e+000
9.984536543948916e-004	-9.715823e-002	8.538260e+000	3.089749e+000
1.012125529394891e-003	7.611327e-001	8.538260e+000	3.089749e+000
1.032633341894891e-003	2.036076e+000	8.538260e+000	3.089745e+000
1.053141154394891e-003	3.277261e+000	8.538260e+000	3.089749e+000
1.073648966894891e-003	4.464107e+000	8.538260e+000	3.089745e+000
1.094156779394890e-003	5.576935e+000	8.538261e+000	3.089749e+000
