v3	V(vin)	V(vo1)	V(vout)
3.299999999999983e+000	3.300000e+000	3.926432e+000	3.299577e+000
3.399999999999983e+000	3.400000e+000	4.027205e+000	3.399579e+000
3.499999999999983e+000	3.500000e+000	4.127956e+000	3.499580e+000
3.599999999999983e+000	3.600000e+000	4.228686e+000	3.599582e+000
3.699999999999983e+000	3.700000e+000	4.329395e+000	3.699584e+000
3.799999999999983e+000	3.800000e+000	4.430086e+000	3.799586e+000
3.899999999999984e+000	3.900000e+000	4.530759e+000	3.899588e+000
3.999999999999984e+000	4.000000e+000	4.631415e+000	3.999590e+000
4.099999999999984e+000	4.100000e+000	4.732055e+000	4.099592e+000
4.199999999999983e+000	4.200000e+000	4.832679e+000	4.199594e+000
4.299999999999983e+000	4.300000e+000	4.933289e+000	4.299595e+000
4.399999999999983e+000	4.400000e+000	5.033885e+000	4.399597e+000
4.499999999999982e+000	4.500000e+000	5.134467e+000	4.499599e+000
4.599999999999982e+000	4.600000e+000	5.235036e+000	4.599601e+000
4.699999999999982e+000	4.700000e+000	5.335593e+000	4.699603e+000
4.799999999999981e+000	4.800000e+000	5.436139e+000	4.799604e+000
4.899999999999981e+000	4.900000e+000	5.536673e+000	4.899606e+000
4.999999999999981e+000	5.000000e+000	5.637197e+000	4.999608e+000
5.099999999999980e+000	5.100000e+000	5.737710e+000	5.099609e+000
5.199999999999980e+000	5.200000e+000	5.838213e+000	5.199611e+000
5.299999999999979e+000	5.300000e+000	5.938707e+000	5.299613e+000
5.399999999999979e+000	5.400000e+000	6.039191e+000	5.399615e+000
5.499999999999979e+000	5.500000e+000	6.139667e+000	5.499617e+000
5.599999999999978e+000	5.600000e+000	6.240134e+000	5.599618e+000
5.699999999999978e+000	5.700000e+000	6.340592e+000	5.699620e+000
5.799999999999978e+000	5.800000e+000	6.441043e+000	5.799622e+000
5.899999999999977e+000	5.900000e+000	6.541486e+000	5.899624e+000
5.999999999999977e+000	6.000000e+000	6.641922e+000	5.999625e+000
6.099999999999977e+000	6.100000e+000	6.742351e+000	6.099627e+000
6.199999999999976e+000	6.200000e+000	6.842772e+000	6.199629e+000
6.299999999999976e+000	6.300000e+000	6.943187e+000	6.299631e+000
6.399999999999976e+000	6.400000e+000	7.043595e+000	6.399632e+000
6.499999999999975e+000	6.500000e+000	7.143997e+000	6.499634e+000
6.599999999999975e+000	6.600000e+000	7.244393e+000	6.599636e+000
6.699999999999974e+000	6.700000e+000	7.344783e+000	6.699637e+000
6.799999999999974e+000	6.800000e+000	7.445167e+000	6.799639e+000
6.899999999999974e+000	6.900000e+000	7.545546e+000	6.899641e+000
