time	V(vin)	V(voutoa)	V(voutr)
8.389422092722670e-004	-1.017445e+000	1.021590e+000	3.596306e-003
8.487078342722670e-004	-9.765149e-001	9.811543e-001	1.748028e-003
8.584734592722670e-004	-9.319099e-001	9.370267e-001	7.775409e-004
8.682390842722670e-004	-8.837973e-001	8.893737e-001	3.195896e-004
8.780047092722671e-004	-8.323584e-001	8.383754e-001	1.224118e-004
8.877703342722671e-004	-7.777866e-001	7.842253e-001	4.398425e-005
8.975359592722671e-004	-7.202874e-001	7.271288e-001	1.490442e-005
9.073015842722671e-004	-6.600773e-001	6.673034e-001	4.784592e-006
9.170672092722671e-004	-5.973827e-001	6.049785e-001	1.461013e-006
9.365984592722671e-004	-4.654928e-001	4.738059e-001	1.194792e-007
9.561297092722671e-004	-3.266014e-001	3.357528e-001	8.443118e-009
9.658953342722671e-004	-2.551797e-001	2.652372e-001	2.139133e-009
9.756609592722671e-004	-1.827976e-001	1.981855e-001	4.007647e-010
9.787106948500484e-004	-1.600393e-001	1.857436e-001	2.049650e-010
9.797199352365267e-004	-1.524946e-001	1.888863e-001	1.718384e-010
9.812886521319731e-004	-1.407555e-001	2.043173e-001	1.329724e-010
9.820047071284260e-004	-1.353921e-001	2.120736e-001	1.187286e-010
9.827207621248789e-004	-1.300263e-001	2.196874e-001	1.055130e-010
9.834368171213318e-004	-1.246580e-001	2.271587e-001	9.332568e-011
9.841528721177845e-004	-1.192872e-001	2.344875e-001	8.216658e-011
9.848689271142375e-004	-1.139140e-001	2.416738e-001	7.203570e-011
9.855849821106904e-004	-1.085384e-001	2.487175e-001	6.293305e-011
9.863010371071433e-004	-1.031603e-001	2.556188e-001	5.485863e-011
9.865954849650870e-004	-1.009482e-001	2.576031e-001	5.184314e-011
9.868991786155638e-004	-9.866636e-002	2.553747e-001	4.886073e-011
9.871230475533791e-004	-9.698404e-002	2.411913e-001	4.674556e-011
9.873207291994442e-004	-9.549836e-002	2.117268e-001	4.493897e-011
9.874695248432023e-004	-9.437998e-002	1.825405e-001	4.361626e-011
9.876256309341786e-004	-9.320657e-002	1.553966e-001	4.226365e-011
9.877936796940550e-004	-9.194329e-002	1.349850e-001	4.084433e-011
9.879905702405007e-004	-9.046306e-002	1.203513e-001	3.923518e-011
9.883300610768803e-004	-8.791044e-002	1.068277e-001	3.658091e-011
9.887841821549575e-004	-8.449530e-002	9.777790e-002	3.323107e-011
9.893055718213600e-004	-8.057342e-002	9.215517e-002	2.969423e-011
9.901581098314585e-004	-7.415882e-002	8.529040e-002	2.457009e-011
9.939602333833896e-004	-4.552784e-002	5.684492e-002	9.759378e-012
9.980431455288760e-004	-1.475396e-002	3.108308e-002	2.470439e-012
1.001583229989190e-003	1.193708e-002	2.940163e-002	2.690358e-012
1.006858658893198e-003	5.169706e-002	5.721905e-002	1.213751e-011
1.008519928679117e-003	6.420807e-002	6.254062e-002	1.773522e-011
1.009294544925838e-003	7.003939e-002	6.821216e-002	2.137306e-011
1.009680307172382e-003	7.294280e-002	7.320157e-002	2.343481e-011
1.010032790571555e-003	7.559537e-002	7.525235e-002	2.546860e-011
1.010407496433445e-003	7.841476e-002	7.723683e-002	2.775432e-011
1.010676035143421e-003	8.043505e-002	7.970563e-002	2.947812e-011
1.010956904357771e-003	8.254787e-002	8.163360e-002	3.136736e-011
1.011215590581108e-003	8.449358e-002	8.349422e-002	3.318489e-011
1.011513300546990e-003	8.673255e-002	8.584706e-002	3.537874e-011
1.011892342656318e-003	8.958273e-002	8.863680e-002	3.832774e-011
1.014767244041057e-003	1.111950e-001	1.102339e-001	1.670529e-011
1.017642145425796e-003	1.327552e-001	1.317724e-001	7.184970e-011
1.020517046810535e-003	1.542633e-001	1.532522e-001	2.037610e-010
1.023391948195274e-003	1.757193e-001	1.746732e-001	4.124391e-010
1.026266849580013e-003	1.971233e-001	1.960356e-001	6.978841e-010
1.029141750964752e-003	2.184752e-001	2.173393e-001	1.060096e-009
1.032016652349491e-003	2.397750e-001	2.385844e-001	1.499075e-009
1.051547902349491e-003	3.819024e-001	3.805336e-001	2.430835e-008
1.071079152349491e-003	5.182856e-001	5.168091e-001	3.259690e-007
1.090610402349491e-003	6.468733e-001	6.453086e-001	3.726862e-006
1.100376027349491e-003	7.076340e-001	7.060322e-001	1.174072e-005
1.110141652349491e-003	7.657314e-001	7.640970e-001	3.506531e-005
